5721	Trichomonas
5800	Eimeria
44417	Cyclospora
5810	Toxoplasma
94642	Besnoitia
29175	Neospora
5806	Cryptosporidium
35089	Gregarina
5820	Plasmodium
5864	Babesia
5873	Theileria
28000	Perkinsus
5931	Ichthyophthirius
5890	Tetrahymena
5884	Paramecium
5052	Aspergillus
5073	Penicillium
70110	Penicilliopsis
5094	Talaromyces
1132856	Rasamsonia
5092	Byssochlamys
5550	Trichophyton
1915381	Nannizzia
34392	Microsporum
5036	Histoplasma
229219	Blastomyces
38946	Paracoccidioides
5500	Coccidioides
33187	Uncinocarpus
40354	Fonsecaea
82105	Cladophialophora
5583	Exophiala
5600	Phialophora
43220	Capronia
5587	Rhinocladiella
226991	Cyphellophora
364710	Endocarpon
5543	Trichoderma
45234	Cordyceps
5581	Beauveria
5506	Fusarium
5529	Metarhizium
243023	Pochonia
1052105	Purpureocillium
5455	Colletotrichum
1036719	Verticillium
1401161	Sodiomyces
41687	Scedosporium
5146	Sordaria
5140	Neurospora
5149	Chaetomium
1920207	Thermothelomyces
35719	Thielavia
5144	Podospora
65412	Phaeoacremonium
29849	Gaeumannomyces
48558	Pyricularia
360145	Grosmannia
29907	Sporothrix
37840	Pestalotiopsis
47747	Hyaloscypha
324777	Marssonina
150173	Phialocephala
5179	Sclerotinia
33196	Botrytis
101851	Glarea
78156	Pseudogymnoascus
5100	Amorphotheca
33194	Bipolaris
91493	Exserohilum
5598	Alternaria
5027	Pyrenophora
1351751	Parastagonospora
5021	Leptosphaeria
125369	Paraphaeosphaeria
1494215	Verruconis
66735	Diplodia
1955842	Coniosporium
29002	Cercospora
112497	Ramularia
237179	Sphaerulina
131324	Pseudocercospora
1047167	Zymoseptoria
483074	Baudoinia
5579	Aureobasidium
1217823	Xylona
36048	Tuber
13348	Arthrobotrys
4958	Debaryomyces
1535326	Candida
36913	Lodderomyces
766748	Babjeviella
507510	Hyphopichia
766765	Yamadazyma
1539666	Suhomyces
766728	Meyerozyma
766733	Scheffersomyces
412764	Spathaspora
374469	Vanderwaltozyma
4930	Saccharomyces
300275	Lachancea
113604	Tetrapisispora
71245	Kazachstania
33170	Eremothecium
278028	Naumovozyma
4910	Kluyveromyces
374468	Nakaseomyces
4948	Torulaspora
4953	Zygosaccharomyces
599737	Wickerhamomyces
604195	Cyberlindnera
460517	Komagataella
4919	Pichia
461281	Ogataea
36910	Clavispora
27320	Metschnikowia
27308	Ascoidea
45787	Wickerhamiella
410829	Sugiyamaella
4951	Yarrowia
317045	Kuraishia
4753	Pneumocystis
4895	Schizosaccharomyces
5605	Saitoella
5305	Phanerochaete
599838	Fibroporia
114154	Dichomitus
5324	Trametes
83235	Postia
40466	Sparassis
167346	Fomitiporia
40443	Gloeophyllum
133746	Punctularia
5644	Stereum
13562	Heterobasidion
5340	Agaricus
29882	Laccaria
184431	Coprinopsis
5333	Schizophyllum
80635	Coniophora
80744	Serpula
490731	Kwoniella
5618	Tsuchiyaea
5206	Cryptococcus
105767	Tremella
4998	Kockovaella
1838142	Cutaneotrichosporon
5552	Trichosporon
105983	Apiotrichum
5280	Tilletiaria
401624	Ceraceosorus
215251	Meira
215249	Acaromyces
1981958	Pseudomicrostroma
561108	Jaminaea
1500560	Tilletiopsis
63261	Moesziomyces
63298	Pseudozyma
1804794	Kalmanozyma
1392992	Anthracocystis
5269	Ustilago
55193	Malassezia
5260	Melampsora
5296	Puccinia
34348	Mixia
5533	Rhodotorula
148959	Wallemia
27977	Nosema
42398	Vittaforma
